,street,city_state,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,url
1025,1021 Delna Manor Ln,"SAN JOSE, CA 95128",945000,3Beds,2Baths,"1,194Sq Ft",62 / 100,0,70 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/1021-Delna-Manor-Ln-95128/home/1200775
1026,711 Spindrift St #711,"SAN JOSE, CA 95134",209000,3Beds,2Baths,"1,344Sq Ft",30 / 100,48 / 100,76 / 100,0,https://www.redfin.com//CA/San-Jose/711-Spindrift-St-95134/unit-711/home/179277336
1027,7150 Rainbow Dr #42,"SAN JOSE, CA 95129",818000,2Beds,1.5Baths,"1,050Sq Ft",57 / 100,23 / 100,73 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/7150-Rainbow-Dr-95129/unit-42/home/1155578
1028,103 Tiffin Dr,"SAN JOSE, CA 95136",1699950,4Beds,2.5Baths,"2,141Sq Ft",34 / 100,46 / 100,57 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/103-Tiffin-Dr-95136/home/1472351
1029,5971 Drytown Pl,"SAN JOSE, CA 95120",1750000,3Beds,2.5Baths,"2,923Sq Ft",64 / 100,30 / 100,68 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/5971-Drytown-Pl-95120/home/1819208
1030,5677 Hoffman,"SAN JOSE, CA 95118",1688888,8Beds,4Baths,"3,400Sq Ft",73 / 100,34 / 100,57 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/5677-Hoffman-Ct-95118/home/1781038
1031,1867 Potrero Dr,"SAN JOSE, CA 95124",1525000,3Beds,2.5Baths,"1,050Sq Ft",63 / 100,36 / 100,70 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/1867-Potrero-Dr-95124/home/1452855
1032,1638 Briarpoint Dr,"SAN JOSE, CA 95131",1258000,4Beds,2.5Baths,"1,812Sq Ft",16 / 100,55 / 100,55 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/1638-Briarpoint-Dr-95131/home/1548111
1033,1242 Spaich Dr,"SAN JOSE, CA 95117",2195000,4Beds,2.5Baths,"2,532Sq Ft",29 / 100,38 / 100,64 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/1242-Spaich-Dr-95117/home/1233022
1034,802 S 3rd St,"SAN JOSE, CA 95112",1298888,5Beds,3.5Baths,"2,948Sq Ft",90 / 100,56 / 100,91 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/802-S-Third-St-95112/home/1315975
1035,487 White Chapel Ave #305,"SAN JOSE, CA 95136",879000,2Beds,2.5Baths,"1,104Sq Ft",46 / 100,41 / 100,27 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/487-Whitechapel-Ave-95136/unit-305/home/1080988
1036,302 Morning Star Dr #302,"SAN JOSE, CA 95131",769900,2Beds,2Baths,"1,080Sq Ft",74 / 100,45 / 100,76 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/302-Morning-Star-Dr-95131/unit-302/home/179273235
1037,3819 Underwood Dr,"SAN JOSE, CA 95117",2288000,9Beds,5Baths,"3,986Sq Ft",50 / 100,38 / 100,61 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/3819-Underwood-Dr-95117/home/746434
1038,336 Avenida Nogales,"SAN JOSE, CA 95123",1495000,3Beds,2.5Baths,"1,844Sq Ft",59 / 100,42 / 100,67 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/336-Avenida-Nogales-95123/home/803589
1039,3845 Glengrove Way,"SAN JOSE, CA 95121",1549950,6Beds,3Baths,"2,057Sq Ft",17 / 100,26 / 100,60 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Jose/3845-Glengrove-Way-95121/home/1627289
1040,47 Wood St,"San Francisco, CA 94118",1399000,2Beds,1Bath,"1,450Sq Ft",95 / 100,71 / 100,73 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/47-Wood-St-94118/home/1764596
1041,447 Roosevelt Way,"San Francisco, CA 94114",899000,1Bed,1Bath,717Sq Ft,87 / 100,77 / 100,65 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/447-Roosevelt-Way-94114/home/11743301
1042,555 Bartlett St #224,"San Francisco, CA 94110",725000,1Bed,1Bath,626Sq Ft,99 / 100,85 / 100,97 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/555-Bartlett-St-94110/unit-224/home/40138742
1043,3820 - 3822 Mission St,"San Francisco, CA 94110",1600000,4Beds,3.5Baths,"2,950Sq Ft",88 / 100,81 / 100,80 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/3820-Mission-St-94110/unit-3822/home/52834537
1044,1145 Pine St #46,"SAN FRANCISCO, CA 94109",699000,1Bed,1Bath,600Sq Ft,99 / 100,100 / 100,62 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1145-Pine-St-94109/unit-46/home/1312331
1045,3235 Pacific Ave,"San Francisco, CA 94118",5999999,2Beds,3.5Baths,—Sq Ft,86 / 100,72 / 100,64 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/3235-Pacific-Ave-94118/home/587393
1046,301 Mission St Unit 23D,"SAN FRANCISCO, CA 94105",645000,1Bed,1Bath,789Sq Ft,99 / 100,100 / 100,82 / 100,19Not Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/301-Mission-St-94105/unit-23D/home/40138172
1047,110 Summit Way,"San Francisco, CA 94132",1368800,3Beds,2Baths,"1,547Sq Ft",82 / 100,71 / 100,40 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/110-Summit-Way-94132/home/109687079
1048,225 Diamond St,"San Francisco, CA 94114",1915000,3Beds,2Baths,"2,006Sq Ft",97 / 100,78 / 100,66 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/225-Diamond-St-94114/home/677575
1049,2420 Geary Blvd Unit C,"San Francisco, CA 94115",1395000,2Beds,2Baths,"1,484Sq Ft",95 / 100,74 / 100,68 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2420-Geary-Blvd-94115/unit-C/home/11743046
1050,2188 Sutter St,"San Francisco, CA 94115",2098000,3Beds,3Baths,"2,281Sq Ft",99 / 100,75 / 100,92 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2188-Sutter-St-94115/home/12402121
1051,1645 Pacific Ave Unit 4D,"San Francisco, CA 94109",1998000,2Beds,2Baths,"1,402Sq Ft",100 / 100,84 / 100,81 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1645-Pacific-Ave-94109/unit-4D/home/69371512
1052,301 Mission St Unit 14B,"San Francisco, CA 94105",680000,1Bed,1Bath,668Sq Ft,99 / 100,100 / 100,82 / 100,19Not Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/301-Mission-St-94105/unit-14B/home/40142412
1053,1959 21st Ave,"San Francisco, CA 94116",1459000,2Beds,1Bath,"1,125Sq Ft",86 / 100,64 / 100,65 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1959-21st-Ave-94116/home/1200940
1054,400 Beale St #408,"San Francisco, CA 94105",727000,1Bed,1Bath,694Sq Ft,92 / 100,100 / 100,60 / 100,41Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/400-Beale-St-94105/unit-408/home/1474094
1055,260 King St #435,"San Francisco, CA 94107",1250000,2Beds,2Baths,"1,201Sq Ft",94 / 100,90 / 100,92 / 100,41Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/260-King-St-94107/unit-435/home/8191012
1056,2100 Pacific Ave Unit 7A,"San Francisco, CA 94115",2995000,4Beds,3Baths,"2,707Sq Ft",96 / 100,81 / 100,57 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2100-Pacific-Ave-94115/unit-007A/home/12401085
1057,559 - 1667 West Burnett Ave #100,"San Francisco, CA 94131",1249000,3Beds,2Baths,"1,524Sq Ft",52 / 100,65 / 100,53 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/559-Burnett-Ave-94131/unit-100/home/678196
1058,301 Mission St Unit 23F,"San Francisco, CA 94105",1650000,3Beds,3Baths,"1,998Sq Ft",99 / 100,100 / 100,82 / 100,19Not Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/301-Mission-St-94105/unit-23F/home/21957356
1059,1400 Mission St #506,"San Francisco, CA 94103",349108,1Bed,1Bath,635Sq Ft,99 / 100,100 / 100,99 / 100,43Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1400-Mission-St-94103/unit-506/home/109687121
1060,1402 15th St,"San Francisco, CA 94103",1199000,3Beds,2Baths,"1,419Sq Ft",98 / 100,96 / 100,100 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1402-15th-St-94103/home/867487
1061,2691 20th Ave,"San Francisco, CA 94116",1565000,3Beds,3Baths,"1,982Sq Ft",80 / 100,72 / 100,54 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2691-20th-Ave-94116/home/670415
1062,50 Washburn St,"San Francisco, CA 94103",1399000,1Bed,2Baths,"1,619Sq Ft",99 / 100,100 / 100,99 / 100,43Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/50-Washburn-St-94103/home/12395633
1063,107 Valmar Ter,"San Francisco, CA 94112",1149000,2Beds,1Bath,—Sq Ft,68 / 100,72 / 100,47 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/107-Valmar-Ter-94112/home/774694
1064,156 Guerrero St,"San Francisco, CA 94103",1295000,2Beds,2Baths,"1,692Sq Ft",98 / 100,99 / 100,88 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/156-Guerrero-St-94103/unit-101/home/925438
1065,733 Sanchez St,"San Francisco, CA 94114",2995000,3Beds,3Baths,"2,066Sq Ft",92 / 100,87 / 100,60 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/733-Sanchez-St-94114/home/1758859
1066,260 29th St,"San Francisco, CA 94131",1950000,4Beds,3Baths,"2,560Sq Ft",97 / 100,79 / 100,96 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/260-29th-St-94131/home/1195166
1067,1 College Ter,"San Francisco, CA 94112",1499000,4Beds,3Baths,"1,903Sq Ft",87 / 100,81 / 100,72 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1-College-Ter-94112/home/809349
1068,2432 Diamond St,"San Francisco, CA 94131",2850000,4Beds,3.5Baths,"2,757Sq Ft",77 / 100,79 / 100,61 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2432-Diamond-St-94131/home/806952
1069,2462 Broadway St,"SAN FRANCISCO, CA 94115",4920000,3Beds,2.5Baths,"2,896Sq Ft",95 / 100,76 / 100,58 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2462-Broadway-94115/home/1505965
1070,2678 22nd Ave,"San Francisco, CA 94116",1595000,2Beds,1Bath,"1,420Sq Ft",75 / 100,71 / 100,56 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2678-22nd-Ave-94116/home/1819829
1071,112 Putnam St,"San Francisco, CA 94110",2249000,4Beds,3Baths,"2,508Sq Ft",91 / 100,73 / 100,65 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/112-Putnam-St-94110/home/1036232
1072,1827 Stockton St,"San Francisco, CA 94133",1945000,4Beds,2.5Baths,"1,945Sq Ft",99 / 100,81 / 100,71 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1827-Stockton-St-94133/home/177436634
1073,111 Chestnut St #302,"San Francisco, CA 94111",995000,2Beds,2Baths,"1,033Sq Ft",92 / 100,80 / 100,65 / 100,53Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/111-Chestnut-St-94111/unit-302/home/1407526
1074,200 Grafton Ave,"San Francisco, CA 94112",1495000,4Beds,3Baths,"1,762Sq Ft",88 / 100,85 / 100,50 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/200-Grafton-Ave-94112/home/1836421
1075,55 Page St #817,"San Francisco, CA 94102",885000,1Bed,1Bath,746Sq Ft,100 / 100,100 / 100,99 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/55-Page-St-94102/unit-817/home/17306589
1076,600 Chestnut St #205,"San Francisco, CA 94133",1295000,3Beds,2Baths,"1,430Sq Ft",99 / 100,81 / 100,90 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/600-Chestnut-St-94133/unit-205/home/1570485
1077,456 Diamond St,"San Francisco, CA 94114",1850000,3Beds,1Bath,"1,537Sq Ft",86 / 100,73 / 100,67 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/456-Diamond-St-94114/home/993129
1078,1001 Pine St #1212,"San Francisco, CA 94109",595000,—Beds,1Bath,450Sq Ft,99 / 100,100 / 100,58 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1001-Pine-St-94109/unit-1212/home/1803835
1079,1073 - A Natoma St,"San Francisco, CA 94103",749000,2Beds,1Bath,—Sq Ft,97 / 100,100 / 100,99 / 100,43Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1073a-Natoma-St-94103/home/173182234
1080,200 20th Ave,"San Francisco, CA 94121",2895000,4Beds,3.5Baths,"2,800Sq Ft",98 / 100,69 / 100,82 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/200-20th-Ave-94121/home/1289575
1081,137 Divisadero St,"San Francisco, CA 94117",1995000,3Beds,2Baths,—Sq Ft,97 / 100,85 / 100,74 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/137-Divisadero-St-94117/home/12277465
1082,1025 Treat Ave,"SAN FRANCISCO, CA 94110",1695000,3Beds,1.5Baths,"1,628Sq Ft",99 / 100,84 / 100,100 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1025-Treat-Ave-94110/home/143852387
1083,350 Claremont Blvd,"San Francisco, CA 94127",2895000,4Beds,4.5Baths,"2,646Sq Ft",93 / 100,74 / 100,65 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/350-Claremont-Blvd-94127/home/687419
1084,853 Corbett Ave,"San Francisco, CA 94131",1848000,2Beds,2Baths,"1,615Sq Ft",68 / 100,62 / 100,63 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/853-Corbett-Ave-94131/home/144063759
1085,960 Moscow St,"San Francisco, CA 94112",1250000,4Beds,3.5Baths,"1,898Sq Ft",83 / 100,74 / 100,57 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/960-Moscow-St-94112/home/1743871
1086,2600 18th St #11,"San Francisco, CA 94110",1295000,2Beds,2.5Baths,"1,350Sq Ft",96 / 100,80 / 100,92 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2600-18th-St-94110/unit-11/home/1417954
1087,3235 Gough St #303,"San Francisco, CA 94123",750000,1Bed,1Bath,—Sq Ft,95 / 100,74 / 100,95 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/3235-Gough-St-94123/unit-303/home/114072050
1088,3125 Quintara St,"San Francisco, CA 94116",1095000,3Beds,1Bath,"1,214Sq Ft",72 / 100,57 / 100,62 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/3125-Quintara-St-94116/home/1693453
1089,1645 Pacific Ave Unit 2D,"San Francisco, CA 94109",1849000,2Beds,2Baths,"1,399Sq Ft",100 / 100,84 / 100,81 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1645-Pacific-Ave-94109/unit-2D/home/69371525
1090,117 Lyon St,"San Francisco, CA 94117",2700000,5Beds,3.5Baths,"2,352Sq Ft",96 / 100,79 / 100,74 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/117-Lyon-St-94117/home/1772011
1091,112 Ripley St #4,"San Francisco, CA 94110",778000,1Bed,1Bath,566Sq Ft,86 / 100,80 / 100,63 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/112-Ripley-St-94110/unit-4/home/144063969
1092,1237 - 1239 Florida St,"San Francisco, CA 94110",1295000,4Beds,2Baths,"1,640Sq Ft",98 / 100,81 / 100,100 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1237-Florida-St-94110/home/1849206
1093,1 Tuscany Aly,"San Francisco, CA 94133",1998000,5Beds,2Baths,"2,036Sq Ft",99 / 100,81 / 100,71 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1-Tuscany-Aly-94133/home/539745
1094,9 Laidley St,"SAN FRANCISCO, CA 94131",1795000,3Beds,2.5Baths,"1,369Sq Ft",78 / 100,79 / 100,61 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/9-Laidley-St-94131/home/1639973
1095,2971 Clay St,"San Francisco, CA 94115",1950000,3Beds,1.5Baths,"1,847Sq Ft",96 / 100,73 / 100,63 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2971-Clay-St-94115/home/1513052
1096,188 South Park St #7,"San Francisco, CA 94107",1995000,2Beds,2Baths,"1,635Sq Ft",96 / 100,100 / 100,90 / 100,19Not Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/188-S-Park-St-94107/unit-7/home/12397787
1097,1998 Broadway #1502,"SAN FRANCISCO, CA 94109",1089000,1Bed,1Bath,700Sq Ft,98 / 100,81 / 100,56 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1998-Broadway-94109/unit-1502/home/1882574
1098,1900 15th Ave,"San Francisco, CA 94116",1695000,2Beds,1Bath,"1,456Sq Ft",72 / 100,67 / 100,46 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1900-15th-Ave-94116/home/1833839
1099,2040 Franklin St #708,"San Francisco, CA 94109",835000,1Bed,1.5Baths,"1,040Sq Ft",99 / 100,84 / 100,74 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2040-Franklin-St-94109/unit-708/home/1963563
1100,770 - 772 Treat Ave,"San Francisco, CA 94110",2295000,6Beds,—Baths,"3,090Sq Ft",98 / 100,84 / 100,99 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/770-Treat-Ave-94110/home/1231028
1101,1159 Pacific Ave,"San Francisco, CA 94133",5500000,5Beds,4.5Baths,—Sq Ft,98 / 100,90 / 100,63 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1159-Pacific-Ave-94133/home/1322016
1102,700 Goettingen St,"San Francisco, CA 94134",1495000,4Beds,3.5Baths,"1,810Sq Ft",86 / 100,70 / 100,46 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/700-Goettingen-St-94134/home/1414748
1103,2104 24th St,"San Francisco, CA 94107",899000,4Beds,1.5Baths,"1,455Sq Ft",88 / 100,68 / 100,74 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2104-24th-St-94107/home/886662
1104,3121 Santiago St,"San Francisco, CA 94116",1395000,3Beds,3Baths,"2,016Sq Ft",77 / 100,55 / 100,63 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/3121-Santiago-St-94116/home/1900117
1105,376 Chestnut St,"SAN FRANCISCO, CA 94133",1689000,2Beds,2Baths,"1,410Sq Ft",98 / 100,79 / 100,67 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/376-Chestnut-St-94133/home/1208172
1106,37 Miraloma Dr,"San Francisco, CA 94127",1395000,3Beds,1.5Baths,"1,462Sq Ft",72 / 100,71 / 100,49 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/37-Miraloma-Dr-94127/home/2021844
1107,851 Corbett Ave,"San Francisco, CA 94131",1995000,3Beds,2.5Baths,"2,069Sq Ft",68 / 100,62 / 100,63 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/851-Corbett-Ave-94131/home/144063760
1108,386 Connecticut St,"San Francisco, CA 94107",1759000,3Beds,2Baths,"1,622Sq Ft",95 / 100,69 / 100,61 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/386-Connecticut-St-94107/home/1272815
1109,4245 25th St,"San Francisco, CA 94114",1650000,3Beds,1.5Baths,"1,424Sq Ft",92 / 100,66 / 100,62 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/4245-25th-St-94114/home/1551448
1110,200 Brannan St #232,"San Francisco, CA 94107",2995000,3Beds,3Baths,"2,391Sq Ft",89 / 100,99 / 100,73 / 100,41Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/200-Brannan-St-94107/unit-232/home/939585
1111,101 Lombard St Unit 117E,"San Francisco, CA 94111",1100000,1Bed,1Bath,"1,112Sq Ft",97 / 100,85 / 100,65 / 100,53Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/101-Lombard-St-94111/unit-117E/home/1097880
1112,68 Rosenkranz St,"San Francisco, CA 94110",1995000,3Beds,3Baths,"2,496Sq Ft",87 / 100,74 / 100,62 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/68-Rosenkranz-St-94110/home/897313
1113,145 Mansell St,"San Francisco, CA 94134",1188000,4Beds,2.5Baths,"1,899Sq Ft",71 / 100,69 / 100,44 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/145-Mansell-St-94134/home/1901528
1114,843 South South Van Ness Ave #3,"San Francisco, CA 94110",2125000,4Beds,2Baths,"2,178Sq Ft",99 / 100,87 / 100,97 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/843-S-Van-Ness-Ave-94110/unit-3/home/875329
1115,1855 Sacramento St #3,"San Francisco, CA 94109",895000,1Bed,1Bath,"1,109Sq Ft",99 / 100,83 / 100,74 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1855-Sacramento-St-94109/unit-3/home/951530
1116,2345 Green St,"San Francisco, CA 94123",1995000,3Beds,2Baths,"1,658Sq Ft",96 / 100,75 / 100,58 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2345-Green-St-94123/home/40456870
1117,1468 Francisco St #1,"San Francisco, CA 94123",1295000,1Bed,1Bath,984Sq Ft,95 / 100,74 / 100,96 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1468-Francisco-St-94123/unit-1/home/1811170
1118,3345 17th St #6,"San Francisco, CA 94110",898000,1Bed,1Bath,"1,050Sq Ft",99 / 100,95 / 100,100 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/3345-17th-St-94110/unit-6/home/1745725
1119,1177 California St #1431,"San Francisco, CA 94108",1999000,2Beds,2.5Baths,"1,745Sq Ft",99 / 100,100 / 100,59 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1177-California-St-94108/unit-1431/home/549034
1120,10 Brewster St,"San Francisco, CA 94110",1895000,3Beds,2.5Baths,"1,627Sq Ft",87 / 100,74 / 100,75 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/10-Brewster-St-94110/home/2011565
1121,3172 Sacramento St,"San Francisco, CA 94115",1795000,2Beds,2.5Baths,"1,301Sq Ft",95 / 100,72 / 100,70 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/3172-Sacramento-St-94115/home/882003
1122,1688 Wallace Ave #303,"San Francisco, CA 94124",660000,2Beds,2Baths,823Sq Ft,91 / 100,72 / 100,67 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1688-Wallace-Ave-94124/unit-303/home/865323
1123,2554 Great Hwy,"San Francisco, CA 94116",1595000,3Beds,2Baths,"1,517Sq Ft",66 / 100,52 / 100,81 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2554-Great-Hwy-94116/home/1916731
1124,2629 Diamond St,"San Francisco, CA 94131",3695000,4Beds,3Baths,"3,290Sq Ft",87 / 100,81 / 100,62 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/2629-Diamond-St-94131/home/1961789
1125,1118 Cole St,"San Francisco, CA 94117",899000,2Beds,1Bath,934Sq Ft,96 / 100,71 / 100,65 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/1118-Cole-St-94117/home/1409446
1126,595 12th Ave #9,"San Francisco, CA 94118",895000,1Bed,1Bath,922Sq Ft,93 / 100,71 / 100,93 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/595-12th-Ave-94118/unit-9/home/1588593
1127,400 Beale St #801,"San Francisco, CA 94105",1299000,2Beds,2Baths,"1,223Sq Ft",92 / 100,100 / 100,60 / 100,41Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/400-Beale-St-94105/unit-801/home/1225206
1128,77 Dow Pl #501,"San Francisco, CA 94107",799000,1Bed,1.5Baths,"1,022Sq Ft",95 / 100,100 / 100,77 / 100,72Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/77-Dow-Pl-94107/unit-501/home/1513560
1129,280 Monterey Blvd Unit A,"San Francisco, CA 94131",1800000,5Beds,3Baths,"2,589Sq Ft",76 / 100,80 / 100,59 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/280-Monterey-Blvd-94131/unit-A/home/11743381
1130,33 Mountain Spring Ave,"San Francisco, CA 94114",9500000,5Beds,5.5Baths,"5,928Sq Ft",58 / 100,68 / 100,40 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Francisco/33-Mountain-Spring-Ave-94114/home/673077
