,street,city_state,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,url
75,5983 Sterling St,"Dublin, CA 94568",1700000,5Beds,4Baths,"2,828Sq Ft",34 / 100,0,79 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/5983-Sterling-St-94568/home/168834980
76,2820 Casita Ter,"FREMONT, CA 94539",1799999,4Beds,3.5Baths,"2,108Sq Ft",59 / 100,37 / 100,51 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/2820-Casita-Ter-94539/home/107472505
77,2600 Sacramento St,"Berkeley, CA 94702",995000,2Beds,1Bath,"1,282Sq Ft",83 / 100,61 / 100,91 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Berkeley/2600-Sacramento-St-94702/home/1169760
78,1636 Del Norte Ct,"Livermore, CA 94551",1549000,4Beds,3Baths,"1,892Sq Ft",30 / 100,0,56 / 100,95Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/1636-Del-Norte-Ct-94551/home/530363
79,7475 Woodrow Dr,"Oakland, CA 94611",850000,2Beds,1Bath,"1,168Sq Ft",9 / 100,7 / 100,28 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/7475-Woodrow-Dr-94611/home/945475
80,957 Verona Ave,"Livermore, CA 94550",899950,3Beds,2Baths,"1,526Sq Ft",47 / 100,0,69 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/957-Verona-Ave-94550/home/2008271
81,2358 Velocity Cmn #306,"Fremont, CA 94539",1575000,3Beds,3.5Baths,"2,392Sq Ft",10 / 100,27 / 100,8 / 100,94Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/2358-Velocity-CMN-94539/unit-306/home/166904282
82,5313 Starflower Way,"Livermore, CA 94551",1198800,3Beds,2.5Baths,"1,931Sq Ft",34 / 100,0,60 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/5313-Starflower-Way-94551/home/916337
83,2368 107Th Ave,"Oakland, CA 94603",699888,3Beds,2Baths,"1,060Sq Ft",80 / 100,56 / 100,77 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2368-107th-Ave-94603/home/1642766
84,18387 Crest Ave,"Castro Valley, CA 94546",949000,3Beds,1Bath,"1,123Sq Ft",17 / 100,27 / 100,15 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Castro-Valley/18387-Crest-Ave-94546/home/1929008
85,1201 Pine St #362,"OAKLAND, CA 94607",498000,1Bed,1Bath,842Sq Ft,67 / 100,59 / 100,83 / 100,58Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1201-Pine-St-94607/unit-362/home/28696847
86,2202 Chateau Way,"Livermore, CA 94550",1649950,4Beds,3Baths,"2,321Sq Ft",54 / 100,0,71 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/2202-Chateau-Way-94550/home/685371
87,2715 61St Ave,"Oakland, CA 94605",685000,4Beds,2Baths,"1,512Sq Ft",84 / 100,56 / 100,61 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2715-61st-Ave-94605/home/1902858
88,4634 Sloat Rd,"FREMONT, CA 94538",1595000,4Beds,2Baths,"1,870Sq Ft",66 / 100,39 / 100,73 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/4634-Sloat-Rd-94538/home/2023466
89,676 - 678 19th St,"Oakland, CA 94612",828000,3Beds,2Baths,"1,143Sq Ft",96 / 100,80 / 100,97 / 100,64Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/676-19th-St-94612/home/1992041
90,393 Dowling Blvd,"San Leandro, CA 94577",1380000,5Beds,3.5Baths,"3,136Sq Ft",84 / 100,53 / 100,74 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/393-Dowling-Blvd-94577/home/967339
91,2827 Morgan Ave,"Oakland, CA 94602",799000,2Beds,1Bath,"1,031Sq Ft",65 / 100,50 / 100,39 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2827-Morgan-Ave-94602/home/541735
92,1406 9th,"Alameda, CA 94501",1288000,5Beds,3Baths,"2,100Sq Ft",89 / 100,49 / 100,84 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Alameda/1406-Ninth-St-94501/home/966520
93,7412 Kenwood Rd,"Dublin, CA 94568",1998000,5Beds,4.5Baths,"3,016Sq Ft",1 / 100,0,8 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/7412-Kenwood-Rd-94568/home/143118730
94,555 Pierce St #1039,"Albany, CA 94706",439000,1Bed,1Bath,745Sq Ft,59 / 100,58 / 100,66 / 100,69Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Albany/555-Pierce-St-94706/unit-1039/home/529392
95,1548 139th Ave,"San Leandro, CA 94578",749000,2Beds,1Bath,"1,283Sq Ft",75 / 100,44 / 100,57 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/1548-139th-Ave-94578/home/1046831
96,3801 San Pablo Ave #409,"Emeryville, CA 94608",665000,2Beds,2Baths,825Sq Ft,90 / 100,0,95 / 100,71Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Emeryville/3801-San-Pablo-Ave-94608/unit-409/home/22962290
97,425 Vernon St,"Oakland, CA 94610",1550000,8Beds,3Baths,"3,014Sq Ft",78 / 100,56 / 100,65 / 100,64Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/425-Vernon-St-94610/home/1507757
98,8102 Merion Dr,"Newark, CA 94560",1425000,3Beds,2Baths,"1,471Sq Ft",35 / 100,0,45 / 100,96Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Newark/8102-Merion-Dr-94560/home/1462919
99,6817 Eastlawn St,"Oakland, CA 94621",399000,3Beds,1Bath,"1,014Sq Ft",74 / 100,75 / 100,64 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/6817-Eastlawn-St-94621/home/1937105
100,1839 9Th Ave,"Oakland, CA 94606",799900,4Beds,2Baths,"1,654Sq Ft",89 / 100,58 / 100,80 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1839-9th-Ave-94606/home/533087
101,16795 Ehle St,"San Leandro, CA 94578",725000,3Beds,1Bath,930Sq Ft,44 / 100,36 / 100,17 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/16795-Ehle-St-94578/home/1859274
102,6784 Sims Dr,"Oakland, CA 94611",2200000,5Beds,4Baths,"2,151Sq Ft",60 / 100,36 / 100,30 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/6784-Sims-Dr-94611/home/1713050
103,3313 Andrade Rd,"Sunol, CA 94586",1800000,—Beds,—Baths,8.25Acres (Lot),8 / 100,0,24 / 100,0,https://www.redfin.com//CA/Sunol/3313-Andrade-Rd-94586/home/22794629
